epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4194.55,0.72332,0.39946,1.01081,0.98062,0.98966,0.99241,0.80583,0.73679,0.35571,0.93013,0.001076,0.001076,0.001076
72,4251.44,0.71509,0.39162,1.00703,0.98403,0.98276,0.99365,0.80251,0.74307,0.34411,0.93444,0.0010628,0.0010628,0.0010628
73,4309.9,0.72027,0.39166,1.00996,0.98066,0.99138,0.99404,0.81924,0.70085,0.33218,0.9327,0.0010496,0.0010496,0.0010496
74,4368.95,0.71444,0.39702,1.01319,0.98617,0.98793,0.9924,0.83639,0.65683,0.34159,0.92434,0.0010364,0.0010364,0.0010364
75,4426.85,0.72026,0.39841,1.01653,0.98097,0.98621,0.99373,0.80766,0.72325,0.34209,0.92842,0.0010232,0.0010232,0.0010232
76,4484.67,0.69654,0.38804,0.99839,0.98624,0.98867,0.99391,0.80633,0.77896,0.3359,0.93988,0.00101,0.00101,0.00101
77,4544.69,0.70404,0.38727,1.00653,0.98457,0.9899,0.99385,0.82912,0.67922,0.33589,0.93028,0.0009968,0.0009968,0.0009968
78,4602.22,0.70172,0.3869,1.00314,0.98628,0.99125,0.99254,0.82574,0.66452,0.35727,0.9144,0.0009836,0.0009836,0.0009836
79,4659.52,0.70241,0.38818,1.01092,0.98801,0.98621,0.99413,0.8156,0.73471,0.34795,0.93213,0.0009704,0.0009704,0.0009704
80,4717.15,0.69,0.38442,0.99925,0.97121,0.98793,0.99315,0.8317,0.6645,0.34947,0.91994,0.0009572,0.0009572,0.0009572
81,4776.32,0.69676,0.3837,0.99529,0.98853,0.98793,0.99381,0.80299,0.73524,0.34615,0.92938,0.000944,0.000944,0.000944
82,4835.17,0.69207,0.37527,0.99025,0.98786,0.98448,0.99383,0.80603,0.74433,0.33724,0.92426,0.0009308,0.0009308,0.0009308
83,4892.06,0.69761,0.38075,1.00201,0.98378,0.98966,0.99372,0.81296,0.70222,0.34344,0.92343,0.0009176,0.0009176,0.0009176
84,4949.16,0.6769,0.37223,0.99182,0.98626,0.9904,0.99432,0.84287,0.64799,0.31833,0.91408,0.0009044,0.0009044,0.0009044
85,5010.04,0.68379,0.37686,0.9967,0.98788,0.9841,0.99284,0.80639,0.72988,0.32996,0.92632,0.0008912,0.0008912,0.0008912
86,5066.85,0.68521,0.37296,0.98635,0.98447,0.98351,0.99366,0.84701,0.62683,0.32563,0.90421,0.000878,0.000878,0.000878
87,5123.77,0.67452,0.37055,0.99109,0.98112,0.98558,0.99354,0.8096,0.69914,0.33723,0.92219,0.0008648,0.0008648,0.0008648
88,5181.83,0.67723,0.3692,0.99424,0.98702,0.98621,0.99306,0.8171,0.70422,0.33369,0.92471,0.0008516,0.0008516,0.0008516
89,5240.36,0.6776,0.37347,0.99071,0.98482,0.98793,0.99388,0.81538,0.70448,0.34274,0.93024,0.0008384,0.0008384,0.0008384
90,5297.24,0.66952,0.36735,0.98355,0.9829,0.99102,0.99388,0.80591,0.7448,0.33404,0.93802,0.0008252,0.0008252,0.0008252
91,5354.27,0.66423,0.36131,0.98623,0.99171,0.97931,0.99247,0.83912,0.64495,0.31137,0.9125,0.000812,0.000812,0.000812
92,5412.23,0.66604,0.36031,0.98913,0.98453,0.98747,0.99335,0.84656,0.64038,0.30634,0.90475,0.0007988,0.0007988,0.0007988
93,5471.32,0.66219,0.35923,0.98158,0.98618,0.98276,0.99303,0.83024,0.64828,0.311,0.91024,0.0007856,0.0007856,0.0007856
94,5528.4,0.67936,0.3669,0.99979,0.98763,0.98621,0.99265,0.83865,0.65817,0.31521,0.90535,0.0007724,0.0007724,0.0007724
95,5585.95,0.66347,0.35876,0.98856,0.98793,0.98787,0.99234,0.81996,0.70617,0.32194,0.91915,0.0007592,0.0007592,0.0007592
96,5646.54,0.66399,0.35845,0.98234,0.98596,0.98793,0.99291,0.84615,0.62199,0.31161,0.9018,0.000746,0.000746,0.000746
97,5704.3,0.65383,0.35444,0.98523,0.98789,0.98459,0.9931,0.83449,0.66798,0.31741,0.91707,0.0007328,0.0007328,0.0007328
98,5764.46,0.65605,0.35096,0.97856,0.993,0.9781,0.99335,0.82881,0.6661,0.31196,0.92465,0.0007196,0.0007196,0.0007196
99,5827.77,0.64826,0.35196,0.98177,0.98685,0.98448,0.99342,0.83378,0.65737,0.31314,0.9114,0.0007064,0.0007064,0.0007064
100,5887.67,0.6436,0.34876,0.97641,0.9829,0.99097,0.99347,0.82446,0.68608,0.31431,0.91498,0.0006932,0.0006932,0.0006932
101,5948.8,0.6441,0.34655,0.97559,0.98286,0.98857,0.99314,0.83388,0.65158,0.31242,0.90884,0.00068,0.00068,0.00068
102,6007.98,0.66019,0.35597,0.98896,0.98289,0.9906,0.99376,0.83565,0.64063,0.3168,0.90391,0.0006668,0.0006668,0.0006668
103,6066.77,0.64384,0.34517,0.97624,0.98782,0.98966,0.99289,0.82478,0.68618,0.31991,0.92871,0.0006536,0.0006536,0.0006536
104,6127.34,0.6505,0.3503,0.97872,0.98584,0.98793,0.99348,0.84765,0.62533,0.30844,0.91355,0.0006404,0.0006404,0.0006404
105,6186.18,0.65012,0.34625,0.98422,0.97952,0.98963,0.9936,0.84146,0.62685,0.30588,0.90576,0.0006272,0.0006272,0.0006272
106,6245.08,0.63526,0.34572,0.97119,0.97795,0.99407,0.99394,0.84137,0.63286,0.30403,0.90252,0.000614,0.000614,0.000614
107,6302.78,0.64225,0.3452,0.9794,0.98625,0.98959,0.99372,0.84712,0.61565,0.29963,0.89628,0.0006008,0.0006008,0.0006008
